nume_actiune,timestamp
adauga_carte,2026-06-04T14:42:15.984721
adauga_carte,2026-06-04T14:42:15.989718
adauga_carte,2026-06-04T14:42:15.989832
adauga_carte,2026-06-04T14:42:15.989923
listeaza_toate_cartile,2026-06-04T14:42:15.990055
adauga_cititor,2026-06-04T14:42:15.993981
adauga_cititor,2026-06-04T14:42:15.994120
adauga_cititor,2026-06-04T14:42:15.994197
listeaza_toti_cititorii,2026-06-04T14:42:15.994283
imprumuta_carte,2026-06-04T14:42:15.996231
imprumuta_carte,2026-06-04T14:42:15.998161
imprumuta_carte,2026-06-04T14:42:15.998302
imprumuta_carte,2026-06-04T14:42:16.000231
returneaza_carte,2026-06-04T14:42:16.001058
cauta_carti_dupa_autor,2026-06-04T14:42:16.002674
listeaza_carti_dupa_sectiune,2026-06-04T14:42:16.003360
afiseaza_istoric_imprumuturi_cititor,2026-06-04T14:42:16.004575
verifica_disponibilitate_carte,2026-06-04T14:42:16.004922
verifica_disponibilitate_carte,2026-06-04T14:42:16.005283
verifica_disponibilitate_carte,2026-06-04T14:42:16.005409
verifica_disponibilitate_carte,2026-06-04T14:42:16.005529
imprumuta_carte,2026-06-04T14:42:16.005663
imprumuta_carte,2026-06-04T14:42:16.005744
afiseaza_carti_cu_cele_mai_multe_imprumuturi,2026-06-04T14:42:16.005825
sterge_cititor,2026-06-04T14:42:16.013718
listeaza_imprumuturi_active,2026-06-04T14:42:16.014595
returneaza_carte,2026-06-04T14:42:16.016514
sterge_cititor,2026-06-04T14:42:16.016661
listeaza_toti_cititorii,2026-06-04T14:42:16.016816
adauga_carte,2026-06-04T20:26:38.796051
adauga_carte,2026-06-04T20:26:38.797484
adauga_carte,2026-06-04T20:26:38.797564
adauga_carte,2026-06-04T20:26:38.797617
listeaza_toate_cartile,2026-06-04T20:26:38.797717
adauga_cititor,2026-06-04T20:26:38.803094
adauga_cititor,2026-06-04T20:26:38.803492
adauga_cititor,2026-06-04T20:26:38.803654
listeaza_toti_cititorii,2026-06-04T20:26:38.803829
imprumuta_carte,2026-06-04T20:26:38.805602
imprumuta_carte,2026-06-04T20:26:38.806557
imprumuta_carte,2026-06-04T20:26:38.806653
imprumuta_carte,2026-06-04T20:26:38.807640
returneaza_carte,2026-06-04T20:26:38.808161
cauta_carti_dupa_autor,2026-06-04T20:26:38.808603
listeaza_carti_dupa_sectiune,2026-06-04T20:26:38.808994
afiseaza_istoric_imprumuturi_cititor,2026-06-04T20:26:38.809455
verifica_disponibilitate_carte,2026-06-04T20:26:38.809700
verifica_disponibilitate_carte,2026-06-04T20:26:38.809805
verifica_disponibilitate_carte,2026-06-04T20:26:38.809923
verifica_disponibilitate_carte,2026-06-04T20:26:38.810086
imprumuta_carte,2026-06-04T20:26:38.810165
imprumuta_carte,2026-06-04T20:26:38.810215
afiseaza_carti_cu_cele_mai_multe_imprumuturi,2026-06-04T20:26:38.810279
sterge_cititor,2026-06-04T20:26:38.810721
listeaza_imprumuturi_active,2026-06-04T20:26:38.810999
returneaza_carte,2026-06-04T20:26:38.811221
sterge_cititor,2026-06-04T20:26:38.811293
listeaza_toti_cititorii,2026-06-04T20:26:38.811362
jdbc_imprumuta_carte_tranzactie,2026-06-04T20:26:38.930925
